ID,smiles,IC50,IC50_units,pIC50
BCRP_0854,COc1cccc(COc2ccccc2CCc2ccccc2)c1OC,75,uM,4.124938737
BCRP_0855,COc1cc(/C=C/C(=O)OCCCN(C)C[C@H](C)COC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,11,uM,4.958607315
BCRP_0856,COc1cc(/C=C/C(=O)OCCCN(C)CCCCCCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,3,uM,5.522878745
BCRP_0857,COC(=O)[C@@H](NC(=O)c1cc(=O)c2c(OCc3ccccc3Br)cccc2o1)C(C)C,0.05,uM,7.301029996
BCRP_0858,COc1cc(/C=C/C(=O)OC[C@H](C)CN(C)CCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,5.9,uM,5.229147988
BCRP_0859,COc1cc(/C=C/C(=O)OCCCCCN(C)C[C@@H](C)COC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,4.6,uM,5.337242168
BCRP_0860,COc1cc2c(cc1OC)CN(CC/C=C1\CCCc3c(OC)cccc31)CC2,90,uM,4.045757491
BCRP_0861,Cc1coc(C)c1C(=O)N1CCN(c2cc(-c3ccco3)nc3cc(-c4ccccc4)nn23)CC1,0.00000322,uM,11.49214413
BCRP_0862,COc1ccc(-c2[nH]nc3nc(N4CCN(C(=O)c5ccoc5)CC4)cc(C(F)(F)F)c23)cc1,0.000008439,uM,11.07370901
BCRP_0863,O=C(c1ccoc1)N1CCCN(c2cc(-c3ccco3)nc3cc(-c4ccccc4)nn23)C1,0.00000122,uM,11.91364017
BCRP_0864,COc1ccccc1-c1cc2nc(-c3ccco3)cc(N3CCN(C(=O)c4ccoc4)CC3)n2n1,0.00000427,uM,11.36957212
BCRP_0865,Cc1nc2cc(-c3ccncc3)nn2c(N2CCN(C(=O)c3ccoc3)CC2)c1C,0.02761,uM,7.558933593
BCRP_0866,COc1ccc(-c2cc3nc(-c4ccccc4)cc(N4CCN(C(=O)c5ccoc5)CC4)n3n2)cc1,0.00000162,uM,11.79048499
BCRP_0867,c1ccc(-c2cc3nc(-c4ccco4)cc(N4CCNCC4)n3n2)cc1,0.000006982,uM,11.15602016
BCRP_0868,CC1CN(C(=O)c2ccoc2)CCN1c1cc(-c2ccco2)nc2cc(-c3ccccc3)nn12,0.00000292,uM,11.53461715
BCRP_0869,Cc1ccc(-c2nc3nc(C)cc(N4CCN(C(=O)c5ccco5)CC4)n3n2)cc1,0.00000417,uM,11.37986395
BCRP_0870,COc1cc(/C=C/C(=O)OCCCCCCCN(C)CCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,3.9,uM,5.408935393
BCRP_0871,COc1cccc(-c2cc3nc(C)c(C)c(N4CCN(C(=O)c5ccoc5)CC4)n3n2)c1,0.00000383,uM,11.41680123
BCRP_0872,Cc1nc2cc(-c3ccc(Br)cc3)nn2c(N2CCN(C(=O)c3ccoc3)CC2)c1C,0.00001013,uM,10.99439055
BCRP_0873,COc1cccc(-c2cc3nc(-c4ccccc4)cc(N4CCN(C(=O)c5ccoc5)CC4)n3n2)c1,0.00000192,uM,11.71669877
BCRP_0874,CCOc1ccc(NC(=O)c2cccc3c2C(=O)N(CCOC)C3)cc1,1.6,uM,5.795880017
BCRP_0875,N#Cc1ccc(-c2ccc(OCC(=O)NCCc3ccccc3)cc2)cc1,3.76,uM,5.424812155
BCRP_0876,COc1cccc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cccc(OC)c3)cc2)c1,2.3,uM,5.638272164
BCRP_0877,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5Br)cccc4o3)c2c1,0.046,uM,7.337242168
